#{"t_start": 1734013042.1457937, "env_id": "None"}
r,l,t
36.616623,289,0.951556
-11.576584,289,0.96534
-11.576584,289,0.97881
-11.576584,289,1.036223
-11.576584,289,1.052193
-11.576584,289,1.064657
7.58255,289,1.241879
-37.32727,289,3.170614
13.263351,289,5.115525
9.859894,289,7.10964
-2.227188,289,9.20923
-38.358383,289,11.238114
-23.838821,289,13.195119
-45.045074,289,15.305057
-5.805832,289,17.276862
-32.807755,289,19.426953
14.109161,289,21.473205
-11.371277,289,23.434891
2.807785,289,25.353535
-11.986908,289,27.236347
35.825836,289,29.195368
13.618729,289,31.09011
-13.923874,289,32.985106
38.03807,289,34.904743
-24.194153,289,36.85009
-53.83383,289,38.84802
36.326355,289,40.745515
-32.61757,289,42.670622
14.284271,289,44.615728
-53.628662,289,46.538028
-7.787796,289,48.483507
-22.417404,289,50.416107
5.5856323,289,52.367215
2.9379425,289,54.275081
